,Date,Ngene_norm,Ngene,NgeneUCI,NgeneLCI,PMMoV,PMMoV UCI,PMMoV LCI,Ngene_norm_int,positives,Testing,City,pos_rate,positives_raw
88,2022-02-27,1.1053320265164345e-05,15025.660788366042,17492.989236994334,12407.60891936546,1359379844.9612403,1448682170.542636,1289922480.620155,1.1053320265164345e-05,11.0,687.0,Davis,0.01601164483260553,11.0
89,2022-02-28,3.830108109918009e-05,25814.34022857143,29528.972647619048,19396.818819047618,673984636.6666667,696104213.3333334,651943315.7142859,3.830108109918009e-05,4.0,190.0,Davis,0.021052631578947368,4.0
90,2022-03-01,4.120902176537124e-05,55169.73166329967,60453.78742087542,49754.07854006734,1338777998.114478,1364114369.8316498,1318579594.882155,4.120902176537124e-05,4.0,1538.0,Davis,0.002600780234070221,4.0
91,2022-03-02,0.0,0.0,0.0,0.0,876457034.5380903,960702237.2159084,810000805.5818614,0.0,8.0,1116.0,Davis,0.007168458781362007,8.0
92,2022-03-03,2.1684201933450577e-05,19517.336739273927,22257.70730033004,17012.03273927393,900071711.1551156,966668036.4356436,836729869.3069307,2.1684201933450577e-05,7.0,1621.0,Davis,0.00431832202344232,7.0
93,2022-03-04,1.0219770136726643e-05,12664.388727258753,14886.888036441962,10675.216688260403,1239204850.7771146,1352084022.266317,1143400022.0458555,1.0219770136726643e-05,6.0,1295.0,Davis,0.004633204633204633,6.0
94,2022-03-05,1.5905123674349798e-05,11068.571181524398,13779.497845268925,8739.980585845864,695912298.9640558,746450168.4838625,649869255.0938667,1.5905123674349798e-05,6.0,1087.0,Davis,0.005519779208831647,6.0
95,2022-03-06,1.0135568575460804e-05,11649.769585253456,13812.596006144397,9683.56374807988,1149394777.2657452,1174562211.981567,1123588325.652842,1.0135568575460804e-05,2.0,321.0,Davis,0.006230529595015576,2.0
96,2022-03-07,1.49651127602847e-05,13090.182689096577,15207.63676510904,10867.10992149533,874713268.0373833,893630211.5887854,856323242.3676014,1.49651127602847e-05,4.0,464.0,Davis,0.008620689655172414,4.0
97,2022-03-08,1.1532383775988316e-05,8889.949622274466,10745.059876214904,7261.950762665905,770868347.3389356,797759103.6414567,743977591.0364146,1.1532383775988316e-05,7.0,1150.0,Davis,0.00608695652173913,7.0
98,2022-03-09,0.0,0.0,0.0,0.0,388532546.47090536,453913651.3896372,324349624.80917746,0.0,5.0,1339.0,Davis,0.0037341299477221808,5.0
99,2022-03-10,1.6378499591820944e-05,15185.19719245283,17611.304171069183,12793.786872955976,927142141.8867928,992166771.3207548,856843154.2138367,1.6378499591820944e-05,8.0,1372.0,Davis,0.0058309037900874635,8.0
100,2022-03-11,5.010253686039748e-06,3231.6012651045603,4367.5522100254,1982.3742783777411,644997532.5818108,662332185.8352365,626188745.600268,5.010253686039748e-06,3.0,1023.0,Davis,0.002932551319648094,3.0
101,2022-03-12,1.8370468017548143e-05,19465.295006247157,22368.844350179013,16824.864406211706,1059597120.0980392,1124681181.0661774,997952473.958331,1.8370468017548143e-05,0.0,999.0,Davis,0.0,0.0
102,2022-03-13,3.0455814430602056e-05,26236.90372448791,30112.4597090093,22424.983826170333,861474375.7476084,893265301.0366828,829144783.5675819,3.0455814430602056e-05,2.0,296.0,Davis,0.006756756756756757,2.0
103,2022-03-14,1.512433829663654e-05,18109.500510552767,20686.87164355109,15694.869022445564,1197374731.7315753,1232320620.0272188,1159479281.1714845,1.512433829663654e-05,2.0,562.0,Davis,0.0035587188612099642,2.0
104,2022-03-15,1.308868501529052e-05,25504.655493482314,28960.8938547486,22346.3687150838,1948603351.955308,1984357541.8994417,1918808193.6685293,1.308868501529052e-05,6.0,929.0,Davis,0.006458557588805167,6.0
105,2022-03-16,2.200249382187656e-05,36928.79829478582,41647.59677233218,32242.93480709672,1678391485.6991522,1737855865.9957638,1618266684.3220372,2.200249382187656e-05,2.0,1373.0,Davis,0.0014566642388929353,2.0
106,2022-03-17,4.238033630020666e-05,50937.93074358975,55787.45938461539,46013.037364102565,1201923703.0769234,1596258075.384616,823372317.4358976,4.238033630020666e-05,7.0,1417.0,Davis,0.004940014114326041,7.0
